4   2.5600    0.1592    0.5307
  -0.0148    0.0066   -2.1401     5.045
   0.7464    0.1885    3.2509     1.082
  -0.5008    0.6951    3.0336     0.000
   0.3860    1.0341   -1.3555     9.024
