1 4 2.56 0.0
 0.000  0.000 0.0  0.005 0.0  0.0 0.0 0.0
 0.746  0.168 0.0  0.005 0.0  0.0 0.0 0.0
-0.489  0.712 0.0  0.005 0.0  0.0 0.0 0.0
 0.357  1.041 0.0  0.005 0.0  0.0 0.0 0.0
