1 4 1.09 0.0
 0.000  0.000 1.0   0.005 0.0  0.0 0.0 0.0
-0.940  1.086 1.52  0.005 0.04 0.0 0.0 0.0
 0.361  1.520 4.00  0.005 0.08 0.0 0.0 0.0
 0.689  1.185 4.00  0.005 0.07 0.0 0.0 0.0
