accept 5.253043e+01  3.320260e+02  1.115581e+00  1.651493e+00  8.953869e-01  4.335013e+01 
accept 5.328147e+01  3.321055e+02  1.115123e+00  1.651100e+00  8.953866e-01  4.327163e+01 
reject 5.470980e+01  3.321127e+02  1.118665e+00  1.651971e+00  8.954039e-01  4.330431e+01 
reject 7.699095e+01  3.334554e+02  1.114546e+00  1.648107e+00  8.954139e-01  4.334315e+01 
reject 8.598347e+01  3.336769e+02  1.116482e+00  1.649128e+00  8.953944e-01  4.331737e+01 
reject 6.600456e+01  3.311384e+02  1.115072e+00  1.653921e+00  8.953890e-01  4.324305e+01 
reject 8.480257e+01  3.306478e+02  1.118395e+00  1.657084e+00  8.953490e-01  4.328830e+01 
reject 5.871729e+01  3.315284e+02  1.112464e+00  1.653120e+00  8.953831e-01  4.321173e+01 
reject 5.801748e+01  3.314174e+02  1.112761e+00  1.649213e+00  8.954047e-01  4.333736e+01 
accept 5.370767e+01  3.322211e+02  1.114231e+00  1.653072e+00  8.954174e-01  4.326689e+01 
reject 5.828787e+01  3.327322e+02  1.112220e+00  1.652941e+00  8.953979e-01  4.326826e+01 
accept 5.586556e+01  3.323503e+02  1.113132e+00  1.655914e+00  8.952879e-01  4.323134e+01 
accept 5.537911e+01  3.320112e+02  1.108577e+00  1.655472e+00  8.953268e-01  4.320044e+01 
reject 1.053627e+02  3.341048e+02  1.105474e+00  1.660936e+00  8.953106e-01  4.319848e+01 
reject 6.421735e+01  3.327098e+02  1.112329e+00  1.654498e+00  8.952862e-01  4.311525e+01 
accept 5.728002e+01  3.315271e+02  1.110936e+00  1.650351e+00  8.953273e-01  4.327623e+01 
reject 8.433015e+01  3.305307e+02  1.109209e+00  1.651017e+00  8.952798e-01  4.324411e+01 
accept 5.728749e+01  3.315829e+02  1.110665e+00  1.648874e+00  8.953720e-01  4.328810e+01 
reject 6.325501e+01  3.315524e+02  1.108907e+00  1.645003e+00  8.954706e-01  4.327818e+01 
reject 6.847563e+01  3.331990e+02  1.115869e+00  1.649096e+00  8.954231e-01  4.335223e+01 
reject 8.197800e+01  3.305865e+02  1.108450e+00  1.651233e+00  8.953839e-01  4.335368e+01 
reject 6.894097e+01  3.309596e+02  1.113045e+00  1.650370e+00  8.953948e-01  4.327572e+01 
reject 7.481663e+01  3.307943e+02  1.112742e+00  1.648423e+00  8.953244e-01  4.322830e+01 
reject 7.899834e+01  3.334600e+02  1.110774e+00  1.650271e+00  8.953784e-01  4.323960e+01 
reject 9.479430e+01  3.302429e+02  1.113484e+00  1.653515e+00  8.953553e-01  4.336223e+01 
reject 9.477200e+01  3.302894e+02  1.110618e+00  1.646741e+00  8.953789e-01  4.332106e+01 
reject 7.130895e+01  3.309097e+02  1.113745e+00  1.650424e+00  8.953814e-01  4.322905e+01 
reject 7.302980e+01  3.308529e+02  1.108959e+00  1.654875e+00  8.954498e-01  4.333160e+01 
reject 9.224239e+01  3.335003e+02  1.107622e+00  1.643193e+00  8.953732e-01  4.322427e+01 
reject 7.490254e+01  3.310089e+02  1.105963e+00  1.647527e+00  8.953044e-01  4.324589e+01 
accept 5.825250e+01  3.314510e+02  1.112222e+00  1.650438e+00  8.953348e-01  4.326267e+01 
reject 9.479265e+01  3.303456e+02  1.109469e+00  1.650721e+00  8.953359e-01  4.318468e+01 
reject 7.172837e+01  3.309128e+02  1.109994e+00  1.649408e+00  8.953252e-01  4.325624e+01 
reject 1.012490e+02  3.300806e+02  1.114725e+00  1.646737e+00  8.953251e-01  4.329167e+01 
accept 5.882437e+01  3.315256e+02  1.118033e+00  1.653808e+00  8.953374e-01  4.332050e+01 
reject 8.297737e+01  3.334382e+02  1.121178e+00  1.653070e+00  8.953190e-01  4.329429e+01 
accept 5.747985e+01  3.325840e+02  1.115318e+00  1.655369e+00  8.953241e-01  4.333625e+01 
accept 5.734931e+01  3.326679e+02  1.115342e+00  1.652490e+00  8.953386e-01  4.336711e+01 
accept 5.895104e+01  3.328177e+02  1.112206e+00  1.652555e+00  8.953614e-01  4.340566e+01 
reject 1.067907e+02  3.341099e+02  1.108890e+00  1.651345e+00  8.953289e-01  4.348936e+01 
accept 6.160677e+01  3.327576e+02  1.108953e+00  1.648309e+00  8.952469e-01  4.334209e+01 
reject 6.587210e+01  3.329368e+02  1.107465e+00  1.649166e+00  8.951908e-01  4.336365e+01 
reject 7.822156e+01  3.333995e+02  1.110889e+00  1.647022e+00  8.952981e-01  4.333829e+01 
reject 6.473454e+01  3.329577e+02  1.112936e+00  1.649912e+00  8.952290e-01  4.326175e+01 
accept 5.957694e+01  3.324490e+02  1.102844e+00  1.651609e+00  8.952181e-01  4.336119e+01 
reject 1.032603e+02  3.305952e+02  1.092937e+00  1.651177e+00  8.951602e-01  4.348813e+01 
accept 5.735890e+01  3.318497e+02  1.102916e+00  1.652258e+00  8.952444e-01  4.340431e+01 
accept 5.992078e+01  3.318653e+02  1.106157e+00  1.646665e+00  8.952529e-01  4.333726e+01 
reject 6.453625e+01  3.314669e+02  1.107638e+00  1.645573e+00  8.952744e-01  4.327031e+01 
reject 7.270455e+01  3.308421e+02  1.106251e+00  1.653412e+00  8.952521e-01  4.346150e+01 
reject 8.115175e+01  3.309243e+02  1.100265e+00  1.649735e+00  8.952769e-01  4.332946e+01 
reject 7.460091e+01  3.315948e+02  1.102617e+00  1.642252e+00  8.951468e-01  4.336294e+01 
reject 6.704246e+01  3.311225e+02  1.110597e+00  1.643940e+00  8.951622e-01  4.331177e+01 
reject 1.223110e+02  3.298599e+02  1.102384e+00  1.649309e+00  8.952604e-01  4.335640e+01 
accept 6.195380e+01  3.323284e+02  1.107049e+00  1.644600e+00  8.952972e-01  4.335680e+01 
reject 6.904743e+01  3.319144e+02  1.101449e+00  1.645865e+00  8.952906e-01  4.332252e+01 
accept 6.181695e+01  3.322857e+02  1.106577e+00  1.644832e+00  8.952925e-01  4.337359e+01 
accept 5.985930e+01  3.318933e+02  1.109858e+00  1.642438e+00  8.951828e-01  4.337807e+01 
reject 8.335069e+01  3.307787e+02  1.109400e+00  1.639621e+00  8.952860e-01  4.339316e+01 
reject 8.857723e+01  3.308035e+02  1.105854e+00  1.639492e+00  8.951204e-01  4.333935e+01 
accept 6.230492e+01  3.327378e+02  1.112699e+00  1.644592e+00  8.951471e-01  4.339198e+01 
reject 1.631722e+02  3.348974e+02  1.117411e+00  1.646033e+00  8.951644e-01  4.343169e+01 
