-1.048000e+00 -5.700000e-01 -1.056869e+00 -5.505154e-01 -1.053000e+00 -5.650000e-01 -1.059948e+00 -5.445519e-01
-1.048000e+00 -5.700000e-01 -1.056869e+00 -5.505154e-01 -1.043000e+00 -5.650000e-01 -1.057638e+00 -5.488949e-01
-1.058000e+00 -5.600000e-01 -1.062984e+00 -5.384763e-01 -1.063000e+00 -5.550000e-01 -1.065925e+00 -5.325377e-01
-1.053000e+00 -5.650000e-01 -1.059948e+00 -5.445519e-01 -1.058000e+00 -5.600000e-01 -1.062984e+00 -5.384763e-01
-1.043000e+00 -5.650000e-01 -1.057638e+00 -5.488949e-01 -1.043000e+00 -5.550000e-01 -1.061900e+00 -5.416033e-01
-1.068000e+00 -5.500000e-01 -1.068618e+00 -5.263799e-01 -1.073000e+00 -5.450000e-01 -1.071494e+00 -5.205285e-01
-1.063000e+00 -5.550000e-01 -1.065925e+00 -5.325377e-01 -1.068000e+00 -5.500000e-01 -1.068618e+00 -5.263799e-01
-1.048000e+00 -5.500000e-01 -1.066076e+00 -5.360232e-01 -1.053000e+00 -5.450000e-01 -1.069369e+00 -5.299941e-01
-1.043000e+00 -5.550000e-01 -1.061900e+00 -5.416033e-01 -1.048000e+00 -5.500000e-01 -1.066076e+00 -5.360232e-01
-1.078000e+00 -5.400000e-01 -1.073998e+00 -5.144152e-01 -1.083000e+00 -5.350000e-01 -1.076830e+00 -5.086927e-01
-1.073000e+00 -5.450000e-01 -1.071494e+00 -5.205285e-01 -1.078000e+00 -5.400000e-01 -1.073998e+00 -5.144152e-01
-1.053000e+00 -5.450000e-01 -1.069369e+00 -5.299941e-01 -1.053000e+00 -5.350000e-01 -1.074195e+00 -5.231948e-01
-1.083000e+00 -5.350000e-01 -1.076830e+00 -5.086927e-01 -1.083000e+00 -5.250000e-01 -1.080144e+00 -5.000192e-01
-1.058000e+00 -5.300000e-01 -1.078522e+00 -5.176861e-01 -1.063000e+00 -5.250000e-01 -1.081701e+00 -5.115422e-01
-1.053000e+00 -5.350000e-01 -1.074195e+00 -5.231948e-01 -1.058000e+00 -5.300000e-01 -1.078522e+00 -5.176861e-01
-1.088000e+00 -5.200000e-01 -1.081980e+00 -4.936587e-01 -1.093000e+00 -5.150000e-01 -1.084327e+00 -4.879047e-01
-1.083000e+00 -5.250000e-01 -1.080144e+00 -5.000192e-01 -1.088000e+00 -5.200000e-01 -1.081980e+00 -4.936587e-01
-1.063000e+00 -5.250000e-01 -1.081701e+00 -5.115422e-01 -1.063000e+00 -5.150000e-01 -1.087160e+00 -5.053979e-01
-1.093000e+00 -5.150000e-01 -1.084327e+00 -4.879047e-01 -1.093000e+00 -5.050000e-01 -1.088025e+00 -4.792989e-01
-1.063000e+00 -5.150000e-01 -1.087160e+00 -5.053979e-01 -1.063000e+00 -5.050000e-01 -1.091697e+00 -4.991446e-01
-1.098000e+00 -5.000000e-01 -1.088719e+00 -4.725745e-01 -1.103000e+00 -4.950000e-01 -1.090270e+00 -4.669045e-01
-1.093000e+00 -5.050000e-01 -1.088025e+00 -4.792989e-01 -1.098000e+00 -5.000000e-01 -1.088719e+00 -4.725745e-01
-1.068000e+00 -5.000000e-01 -1.096729e+00 -4.941775e-01 -1.073000e+00 -4.950000e-01 -1.101061e+00 -4.886357e-01
-1.063000e+00 -5.050000e-01 -1.091697e+00 -4.991446e-01 -1.068000e+00 -5.000000e-01 -1.096729e+00 -4.941775e-01
-1.108000e+00 -4.900000e-01 -1.090724e+00 -4.607969e-01 -1.113000e+00 -4.850000e-01 -1.092006e+00 -4.558569e-01
-1.103000e+00 -4.950000e-01 -1.090270e+00 -4.669045e-01 -1.108000e+00 -4.900000e-01 -1.090724e+00 -4.607969e-01
-1.073000e+00 -4.950000e-01 -1.101061e+00 -4.886357e-01 -1.073000e+00 -4.850000e-01 -1.105711e+00 -4.832385e-01
-1.113000e+00 -4.850000e-01 -1.092006e+00 -4.558569e-01 -1.113000e+00 -4.750000e-01 -1.092444e+00 -4.461826e-01
-1.078000e+00 -4.800000e-01 -1.111167e+00 -4.788706e-01 -1.083000e+00 -4.750000e-01 -1.116258e+00 -4.739645e-01
-1.073000e+00 -4.850000e-01 -1.105711e+00 -4.832385e-01 -1.078000e+00 -4.800000e-01 -1.111167e+00 -4.788706e-01
-1.118000e+00 -4.700000e-01 -1.089886e+00 -4.415492e-01 -1.123000e+00 -4.650000e-01 -1.090324e+00 -4.391103e-01
-1.113000e+00 -4.750000e-01 -1.092444e+00 -4.461826e-01 -1.118000e+00 -4.700000e-01 -1.089886e+00 -4.415492e-01
-1.088000e+00 -4.700000e-01 -1.121976e+00 -4.701195e-01 -1.093000e+00 -4.650000e-01 -1.127187e+00 -4.653414e-01
-1.083000e+00 -4.750000e-01 -1.116258e+00 -4.739645e-01 -1.088000e+00 -4.700000e-01 -1.121976e+00 -4.701195e-01
-1.123000e+00 -4.650000e-01 -1.090324e+00 -4.391103e-01 -1.123000e+00 -4.550000e-01 -1.084992e+00 -4.350657e-01
-1.093000e+00 -4.650000e-01 -1.127187e+00 -4.653414e-01 -1.093000e+00 -4.550000e-01 -1.132171e+00 -4.651988e-01
-1.128000e+00 -4.500000e-01 -1.089407e+00 -4.380099e-01 -1.133000e+00 -4.450000e-01 -1.094455e+00 -4.370265e-01
-1.123000e+00 -4.550000e-01 -1.084992e+00 -4.350657e-01 -1.128000e+00 -4.500000e-01 -1.089407e+00 -4.380099e-01
-1.098000e+00 -4.500000e-01 -1.136671e+00 -4.645132e-01 -1.103000e+00 -4.450000e-01 -1.138958e+00 -4.677875e-01
-1.093000e+00 -4.550000e-01 -1.132171e+00 -4.651988e-01 -1.098000e+00 -4.500000e-01 -1.136671e+00 -4.645132e-01
-1.138000e+00 -4.400000e-01 -1.100572e+00 -4.341582e-01 -1.143000e+00 -4.350000e-01 -1.106260e+00 -4.311048e-01
-1.133000e+00 -4.450000e-01 -1.094455e+00 -4.370265e-01 -1.138000e+00 -4.400000e-01 -1.100572e+00 -4.341582e-01
-1.103000e+00 -4.450000e-01 -1.138958e+00 -4.677875e-01 -1.103000e+00 -4.350000e-01 -1.134264e+00 -4.617405e-01
-1.143000e+00 -4.350000e-01 -1.106260e+00 -4.311048e-01 -1.143000e+00 -4.250000e-01 -1.110751e+00 -4.271917e-01
-1.108000e+00 -4.300000e-01 -1.134770e+00 -4.588355e-01 -1.113000e+00 -4.250000e-01 -1.132894e+00 -4.538844e-01
-1.103000e+00 -4.350000e-01 -1.134264e+00 -4.617405e-01 -1.108000e+00 -4.300000e-01 -1.134770e+00 -4.588355e-01
-1.148000e+00 -4.200000e-01 -1.115659e+00 -4.221018e-01 -1.153000e+00 -4.150000e-01 -1.121050e+00 -4.176091e-01
-1.143000e+00 -4.250000e-01 -1.110751e+00 -4.271917e-01 -1.148000e+00 -4.200000e-01 -1.115659e+00 -4.221018e-01
-1.113000e+00 -4.250000e-01 -1.132894e+00 -4.538844e-01 -1.113000e+00 -4.150000e-01 -1.133469e+00 -4.441664e-01
-1.153000e+00 -4.150000e-01 -1.121050e+00 -4.176091e-01 -1.153000e+00 -4.050000e-01 -1.125846e+00 -4.121489e-01
-1.118000e+00 -4.100000e-01 -1.134931e+00 -4.391590e-01 -1.123000e+00 -4.050000e-01 -1.135654e+00 -4.331066e-01
-1.113000e+00 -4.150000e-01 -1.133469e+00 -4.441664e-01 -1.118000e+00 -4.100000e-01 -1.134931e+00 -4.391590e-01
-1.158000e+00 -4.000000e-01 -1.130039e+00 -4.065162e-01 -1.163000e+00 -3.950000e-01 -1.135007e+00 -4.014842e-01
-1.153000e+00 -4.050000e-01 -1.125846e+00 -4.121489e-01 -1.158000e+00 -4.000000e-01 -1.130039e+00 -4.065162e-01
-1.128000e+00 -4.000000e-01 -1.137362e+00 -4.274532e-01 -1.133000e+00 -3.950000e-01 -1.138298e+00 -4.208488e-01
