1 4 1.52 0.0
 0.000  0.000 0.0  0.005 0.0  0.0 0.0 0.0
 0.063 -1.806 0.0  0.005 0.0  0.0 0.0 0.0
-0.966 -0.679 0.0  0.005 0.0  0.0 0.0 0.0
 0.529 -0.426 0.0  0.005 0.0  0.0 0.0 0.0
